loss,binary_accuracy,val_loss,val_binary_accuracy
0.6932834982872009,0.5021815299987793,0.6907563209533691,0.534045398235321
0.6858748197555542,0.5689387917518616,0.6840937733650208,0.586448609828949
0.677602231502533,0.6307131052017212,0.6761972904205322,0.6365153789520264
0.6676510572433472,0.6799466013908386,0.6664217710494995,0.6769025325775146
0.6554465293884277,0.7169014811515808,0.6544768214225769,0.7031041383743286
0.6407583951950073,0.7447011470794678,0.6403129696846008,0.726802408695221
0.623626172542572,0.7664449214935303,0.6241134405136108,0.7424899935722351
0.6042801737785339,0.7846840023994446,0.6062082648277283,0.7568424344062805
0.5830708146095276,0.798631489276886,0.5870370864868164,0.7695260643959045
0.5604953169822693,0.8102424740791321,0.5671488642692566,0.7797062993049622
0.5371874570846558,0.8208282589912415,0.5472807884216309,0.7877169847488403
0.5137745141983032,0.8303411602973938,0.5278225541114807,0.7955607771873474
0.49078449606895447,0.83892422914505,0.5093527436256409,0.8019025325775146
0.46864667534828186,0.845051646232605,0.49202650785446167,0.8054072260856628
0.4476102590560913,0.8521565198898315,0.4761448800563812,0.8099132180213928
0.42778584361076355,0.8586653470993042,0.46164584159851074,0.8129172325134277
0.4092777371406555,0.8648642301559448,0.4486472010612488,0.8155874609947205
0.39208167791366577,0.8701809644699097,0.43699249625205994,0.8185914754867554
0.3761284053325653,0.8755215406417847,0.42656803131103516,0.8194258809089661
0.3613411784172058,0.8799799680709839,0.41741201281547546,0.8214285969734192
0.3476821780204773,0.8839377164840698,0.40927281975746155,0.8239319324493408
0.3350025415420532,0.8875855207443237,0.4021153450012207,0.8252670168876648
0.32325586676597595,0.8916386365890503,0.3958142399787903,0.8254339098930359
0.3123248219490051,0.894499659538269,0.39032238721847534,0.8267690539360046
0.302127480506897,0.8978852033615112,0.38553956151008606,0.8289386034011841
0.29263436794281006,0.9009846448898315,0.3814029097557068,0.8302736878395081
0.2837550640106201,0.9037503004074097,0.3778482675552368,0.8316088318824768
0.2754491865634918,0.9061821699142456,0.3747909665107727,0.833277702331543
0.26764556765556335,0.9084472060203552,0.37217363715171814,0.833277702331543
0.26029685139656067,0.9106883406639099,0.36999696493148804,0.8336114883422852
0.2533731460571289,0.9130725264549255,0.36817261576652527,0.8359479308128357
0.24684686958789825,0.9153613448143005,0.36663952469825745,0.8372830152511597
0.2406807839870453,0.9174355864524841,0.36549705266952515,0.8374499082565308
0.2348272055387497,0.9191998839378357,0.3645480275154114,0.8384512662887573
0.2292904406785965,0.9212502837181091,0.36392685770988464,0.8376168012619019
0.22401826083660126,0.9232053160667419,0.3634999990463257,0.8369492888450623
0.2189953625202179,0.9252795577049255,0.3632499873638153,0.8366155028343201
